project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
Sarah Allen V/Belmont Gardens,4100 BROWN ST,Complete,67,-75.205907,39.967022,2.5,Second Antioch Baptist Church,0.263,0.5,Garden Court Community Garden,1.491,1,52nd & Haverford Farmers Market,1.069,4,Fair
Interim House West,4108-20 PARKSIDE AVE,Complete,20,-75.20695,39.975368,3,West Philadelphia Senior Community Center,0.219,1,The Neighbors Garden at Hatfield House,1.103,0,,,4,Fair
King Highway II,2004 E STELLA ST,Complete,31,-75.115982,39.991649,3,BenePhilly Center at Impact Services,0.242,0,,,0.5,Youth-Led Raices Farmstand,1.282,3.5,Fair
Maguire-Willard,1920 E ORLEANS ST,Complete,42,-75.117205,39.9916,2.5,BenePhilly Center at Impact Services,0.349,0,,,1,Youth-Led Raices Farmstand,1.235,3.5,Fair
4800 Disston Street,4800 DISSTON ST,Under Construction,5,-75.041618,40.025202,1.5,Catholic Social Services Northeast Family Service Center,0.806,2,Tacony Community Garden at Disston Park,0.55,0,,,3.5,Fair
Dignity Enhanced Service Project,1646 W NEDRO AVE,Complete,9,-75.148613,40.043295,2.5,Champlost Homes Tenant Council,0.311,0.5,Fisher Park Roots Garden,1.266,0.5,Germantown Kitchen Garden,1.303,3.5,Fair
Shelton Court,6433 N BROAD ST,Complete,20,-75.141667,40.050926,2,St. Benedict Food Bank,0.555,1.5,Fisher Park Roots Garden,0.929,0,,,3.5,Fair
Compassion Senior Living,6223-27 CATHERINE ST,Complete,38,-75.247952,39.951569,1.5,Reconciliation And Liberty Bible Church,0.963,1.5,Cobbs Creek Park Community Garden,0.871,0.5,Black Farmers Market,1.428,3.5,Fair
Tioga Gardens,1801 W TIOGA ST,Complete,33,-75.158617,40.007384,2.5,Mercy Neighborhood Ministry,0.292,1,Hunting Park Community Garden,1.206,0,,,3.5,Fair
Merrick Hall Renovations,5301 RIDGE AVE,Complete,12,-75.208584,40.021059,1.5,The Center at Journey’s Way,0.774,0,,,2,Pencoyd Farmers Market ,0.651,3.5,Fair
PCCO II,2506 W SILVER ST,Complete,9,-75.172508,39.997002,2.5,Dobbins Technical High School,0.369,0,,,1,Strawberry Mansion Farmers Market,1.179,3.5,Fair
Hedgerow Apartments,3125-47 N 16TH ST,Under Construction,80,-75.156295,40.001254,3,Gather the People House of Prayer,0.175,0,,,0.5,4th & Lehigh Farmers Market,1.496,3.5,Fair
Allegheny West Preservation,2804 N BAMBREY,Complete,32,-75.173154,39.998171,2.5,Dobbins Technical High School,0.476,0,,,1,Strawberry Mansion Farmers Market,1.122,3.5,Fair
Gaudenzia - Venango Place,2100 W VENANGO ST,Complete,21,-75.163317,40.008955,3,Mercy Neighborhood Ministry,0.153,0.5,Hunting Park Community Garden,1.284,0,,,3.5,Fair
Reed Street SRO,3225 REED ST,Complete,67,-75.197433,39.937011,2,Young Chances Foundation,0.595,0,,,1.5,Point Breeze Community Market,0.953,3.5,Fair
Nugent Senior Center,221 W JOHNSON ST,Complete,57,-75.186246,40.042528,2.5,Brand New Life Christian Center,0.426,0.5,Pleasant Playground Community Garden,1.337,0.5,Grumblethorpe Youth Farmstand,1.437,3.5,Fair
Presser Senior,101 W JOHNSON ST,Complete,45,-75.185743,40.042876,2.5,Brand New Life Christian Center,0.439,0.5,Pleasant Playground Community Garden,1.349,0.5,Grumblethorpe Youth Farmstand,1.463,3.5,Fair
Phillip Murray House II 202,6300 OLD YORK RD,Complete,70,-75.145371,40.049689,2,St. Benedict Food Bank,0.556,1.5,Fisher Park Roots Garden,0.998,0,,,3.5,Fair
New Courtland at St. Bartholomew Phase II,5364 JACKSON ST,Complete,48,-75.067,40.017501,2,Centre d'Adoration Chretienne,0.627,0,,,1.5,Frankford Transportation Center Farmers Market,0.813,3.5,Fair
Thompson/Walnut Initiative,4230 W THOMPSON ST,Complete,35,-75.211354,39.974589,2.5,West Philadelphia Senior Community Center,0.42,0.5,The Neighbors Garden at Hatfield House,1.374,0.5,52nd & Haverford Farmers Market,1.4,3.5,Fair
Marlton Residences,1721-31 MARLTON AVE,Complete,25,-75.208217,39.975211,2.5,West Philadelphia Senior Community Center,0.262,1,The Neighbors Garden at Hatfield House,1.198,0,,,3.5,Fair
