project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
My Brothers House,609 SOUTH 15TH STREET,Complete,1,-75.167138,39.943562,3,Philadelphia Senior Center - Avenue of the Arts and Asia-Pacific Senior Resource Center,0.156,2.5,Waverly Street Community Garden,0.486,2,Rittenhouse Farmers' Market,0.735,7.5,Excellent
500 Emily Street Revitalization,514 EMILY ST,Complete,5,-75.155579,39.92327,2.5,South Philly Community Fridge at Mifflin Sq. Park,0.276,2.5,Growing Homes Community Garden,0.252,2.5,Dickinson Square Farmers' Market ,0.432,7.5,Excellent
CATCH - Anna's House,1208 S 15TH ST,Under Construction,12,-75.169187,39.935693,3,Mount Hebron Baptist Church,0.125,2.5,Capitolo Community Garden,0.49,2,East Passyunk Farmers' Market,0.61,7.5,Excellent
Jefferson Square,1208 S 5TH ST,Complete,24,-75.152891,39.933234,2.5,South Philly Community Fridge at the People's Kitchen,0.416,3,Manton Street Park Community Garden,0.085,2,Dickinson Square Farmers' Market ,0.513,7.5,Excellent
Drueding Center,413 WEST MASTER STREET,Complete,0,-75.143182,39.972691,3,Dreuding Center,0.082,2,FNC Community Learning Farm at 8th and Poplar,0.734,2.5,Northern Liberties Farmers Market ,0.469,7.5,Excellent
Presbyterian Homes,501-35 JACKSON ST,Complete,67,-75.155338,39.921294,3,South Philly Community Fridge at Mifflin Sq. Park,0.136,2.5,Growing Homes Community Garden,0.392,2,Dickinson Square Farmers' Market ,0.572,7.5,Excellent
Reed Street,501 REED ST,Complete,18,-75.153522,39.931223,2.5,South Philly Community Fridge at the People's Kitchen,0.499,2.5,Manton Street Park Community Garden,0.256,2.5,Dickinson Square Farmers' Market ,0.406,7.5,Excellent
Respite II,1208-12 S 15TH ST,Complete,16,-75.168995,39.935702,3,Mount Hebron Baptist Church,0.125,2.5,Capitolo Community Garden,0.49,2,East Passyunk Farmers' Market,0.61,7.5,Excellent
Jefferson Square,1209 S 4TH ST,Complete,6,-75.150894,39.932951,2,South Philly Community Fridge at the People's Kitchen,0.501,3,Manton Street Park Community Garden,0,2.5,Dickinson Square Farmers' Market ,0.431,7.5,Excellent
4th Street Access,1912-30 N 4TH ST,Complete,24,-75.153059,39.924291,2.5,South Philly Community Fridge at BOK Building,0.374,2.5,Growing Homes Community Garden,0.42,2.5,Dickinson Square Farmers' Market ,0.264,7.5,Excellent
Reed Street Presbyterian,1401-35 S 16TH ST,Complete,84,-75.171087,39.933326,3,Mount Hebron Baptist Church,0.211,2,South Philadelphia Older Adult Center Garden,0.562,2.5,Point Breeze Community Market,0.457,7.5,Excellent
Harlan Sharswood Preservation,2100 SHARSWOOD ST,Complete,113,-75.170473,39.97655,3,Mighty Writers North,0.195,2,Brewerytown Garden,0.536,2.5,Sanctuary Farm Phila,0.269,7.5,Excellent
Center City Y,2027 CHESTNUT ST,Complete,60,-75.174428,39.952487,3,"Church of the Holy Trinity, Open Hearts Cafe",0.247,2,Schuylkill River Park Community Garden,0.549,2.5,Rittenhouse Farmers' Market,0.292,7.5,Excellent
Karen Donnally,2028-40 N 4TH ST,Complete,44,-75.153404,39.922719,2.5,South Philly Community Fridge at Mifflin Sq. Park,0.336,2.5,Growing Homes Community Garden,0.36,2.5,Dickinson Square Farmers' Market ,0.372,7.5,Excellent
Johnnie Tillmon Homes,1327 N ORIANNA ST,Complete,21,-75.141857,39.972148,3,Dreuding Center,0.119,2,FNC Community Learning Farm at 8th and Poplar,0.741,2.5,Northern Liberties Farmers Market ,0.362,7.5,Excellent
Drueding Rainbow,1328-36 N 4TH ST,Complete,10,-75.151476,39.931418,2,South Philly Community Fridge at the People's Kitchen,0.583,3,Manton Street Park Community Garden,0.09,2.5,Dickinson Square Farmers' Market ,0.341,7.5,Excellent
Osun Village Senior,2308 GRAYS FERRY AVE,Complete,16,-75.180294,39.94509,2,"Church of the Holy Trinity, Open Hearts Cafe",0.722,2.5,Schuylkill River Park Community Garden,0.399,3,Fitler Square Farmers Market,0.179,7.5,Excellent
JBJ Soul Homes,1415 FAIRMOUNT AVE,Complete,55,-75.161701,39.967409,3,Salvation Army Temple,0.238,2.5,The Spring Gardens,0.418,2,Fairmount Farmers' Market,0.678,7.5,Excellent
St. Rita Place,1148 S BROAD ST,Complete,46,-75.167455,39.936722,3,South Philadelphia WIC Office,0.103,2.5,Capitolo Community Garden,0.45,2,East Passyunk Farmers' Market,0.62,7.5,Excellent
Gloria Casarez Residence/1315 N 8th,1315 N 8TH ST,Complete,30,-75.149307,39.972346,3,Friends Rehabilitation Program,0.196,2.5,FNC Community Learning Farm at 8th and Poplar,0.306,2,Sanctuary Farm at Health Connections,0.651,7.5,Excellent
Peg's Place,1301 N 8TH ST,Complete,40,-75.149307,39.972346,3,Friends Rehabilitation Program,0.196,2.5,FNC Community Learning Farm at 8th and Poplar,0.306,2,Sanctuary Farm at Health Connections,0.651,7.5,Excellent
The Sheldrake - 4901 Spruce,4901-09 SPRUCE ST,Complete,33,-75.220113,39.953882,2,Catholic Housing and Community Services Star Harbor Senior Center Satellite,0.699,3,Garden Court Community Garden,0.234,2.5,Black Farmers Market,0.389,7.5,Excellent
Cantrell Place,447 CANTRELL ST,Complete,61,-75.154809,39.922084,3,South Philly Community Fridge at Mifflin Sq. Park,0.209,2.5,Growing Homes Community Garden,0.358,2,Dickinson Square Farmers' Market ,0.502,7.5,Excellent
North Star Point Breeze,1415 S 20TH ST,Complete,6,-75.177282,39.93366,3,Philadelphia Housing Authority Cassie L. Holly Apts. Satelite,0.24,1.5,South Philadelphia Older Adult Center Garden,0.914,3,Point Breeze Community Market,0.148,7.5,Excellent
Francisville VI,804 N UBER ST,Complete,8,-75.169119,39.969337,2,MAP Holistic CDC (Mankind Against Poverty),0.644,2.5,The Spring Gardens,0.283,2.5,Fairmount Farmers' Market,0.377,7,Excellent
Southwark Plaza,301 WASHINGTON AVE,Complete,470,-75.149816,39.935346,2,Mighty Writers El Futuro,0.539,3,Manton Street Park Community Garden,0.214,2,Dickinson Square Farmers' Market ,0.645,7,Excellent
Patriot House,1221-25 S 15TH ST,Complete,15,-75.169078,39.935152,3,Mount Hebron Baptist Church,0.096,2,Capitolo Community Garden,0.516,2,East Passyunk Farmers' Market,0.581,7,Excellent
Latona Green,1231 S 17TH ST,Complete,10,-75.172039,39.935493,2.5,Mount Hebron Baptist Church,0.265,2,Capitolo Community Garden,0.685,2.5,Point Breeze Community Market,0.468,7,Excellent
Mt. Sinai,430 REED ST,Complete,37,-75.152797,39.93081,2,South Philly Community Fridge at the People's Kitchen,0.565,2.5,Manton Street Park Community Garden,0.258,2.5,Dickinson Square Farmers' Market ,0.379,7,Excellent
Regent Terrace,5117 REGENT STREET,Under Construction,80,-75.219119,39.941644,2.5,Grace Tabernacle Christian Church,0.295,3,Kingsessing Community Garden,0.007,1.5,Clark Park Farmers Market,0.773,7,Excellent
Beaumont Initiative,5015 BEAUMONT ST,Complete,2,-75.221696,39.945775,2.5,New Testament Church of God,0.437,2.5,Kingsessing Community Garden,0.383,2,Black Farmers Market,0.711,7,Excellent
Potter's House,524-26 S 52ND ST,Complete,14,-75.226682,39.951479,2,New Testament Church of God,0.529,2,Garden Court Community Garden,0.712,3,Black Farmers Market,0.145,7,Excellent
Dignity II Project,5151 WAYNE AVE,Complete,16,-75.170524,40.027262,2.5,Holsey Temple CME Church,0.498,2,Fernhill Food Forest,0.749,2.5,Grumblethorpe Youth Farmstand,0.424,7,Excellent
17th & Federal,1220 S 17TH ST,Complete,11,-75.172366,39.93592,2.5,Mount Hebron Baptist Church,0.293,2,Capitolo Community Garden,0.659,2.5,Point Breeze Community Market,0.494,7,Excellent
St. John the Evangelist House,1212 LUDLOW ST,Complete,79,-75.160849,39.951194,2.5,Philadelphia FIGHT,0.281,2.5,Sartain Community Garden,0.401,2,Rittenhouse Farmers' Market,0.737,7,Excellent
Community Ventures - Point Breeze Scattered,1310 S 16TH ST,Complete,8,-75.17117,39.934285,3,Mount Hebron Baptist Church,0.126,2,Capitolo Community Garden,0.633,2,Point Breeze Community Market,0.509,7,Excellent
YouthBuild,2120 CROSS ST,Complete,4,-75.180373,39.932381,3,Philadelphia Housing Authority Cassie L. Holly Apts. Satelite,0.131,1,South Philadelphia Older Adult Center Garden,1.035,3,Point Breeze Community Market,0.174,7,Excellent
Cross/Greenwich - Habitat,2325 CROSS ST,Complete,6,-75.183704,39.933017,3,New Bethany Baptist Church,0.111,1,South Philadelphia Older Adult Center Garden,1.173,3,Point Breeze Community Market,0.247,7,Excellent
Ruth Williams House,2413-29 N BROAD ST,Complete,88,-75.170474,39.920472,3,Marconi Older Adult Program,0.179,1.5,Growing Homes Community Garden,0.795,2.5,Guerin Rec Center Farmers Market ,0.393,7,Excellent
St. Anthony's,2302 MONTROSE ST,Complete,54,-75.181297,39.941404,2.5,New Bethany Baptist Church,0.489,2,Schuylkill River Park Community Garden,0.632,2.5,Fitler Square Farmers Market,0.442,7,Excellent
Cross/Greenwich - UCH,2300 CROSS ST,Complete,9,-75.183135,39.932723,3,New Bethany Baptist Church,0.111,1,South Philadelphia Older Adult Center Garden,1.173,3,Point Breeze Community Market,0.247,7,Excellent
North Central Neighborhood II,1914 N 7TH ST,Complete,89,-75.146503,39.980732,2.5,Norris Homes/North Central Community Center,0.407,1.5,FNC Community Learning Farm at 8th and Poplar,0.971,3,Sanctuary Farm at Health Connections,0.141,7,Excellent
17th St. Community Corridor Phase I (formerly 17th St. Revitalization),1412-18 N 17TH ST,Under Construction,40,-75.172719,39.93338,2.5,Mount Hebron Baptist Church,0.296,2,South Philadelphia Older Adult Center Garden,0.646,2.5,Point Breeze Community Market,0.372,7,Excellent
Sharswood,1412-22 N 23RD ST,Complete,71,-75.182656,39.934423,3,New Bethany Baptist Church,0,1,Schuylkill River Park Community Garden,1.122,3,Point Breeze Community Market,0.189,7,Excellent
Ludlow Village V/Pradera III,1500 N FRANKLIN ST,Complete,25,-75.148321,39.974689,2.5,Friends Rehabilitation Program,0.353,2,FNC Community Learning Farm at 8th and Poplar,0.509,2.5,Sanctuary Farm at Health Connections,0.493,7,Excellent
Sharswood Phase I,2000-2026 SEYBERT ST,Complete,60,-75.169176,39.975216,2.5,Mighty Writers North,0.277,2,Brewerytown Garden,0.618,2.5,Sanctuary Farm Phila,0.393,7,Excellent
Sharswood Phase III,2000-22 RIDGE AVE,Complete,217,-75.168294,39.975283,2.5,Mighty Writers North,0.299,2,Brewerytown Garden,0.64,2.5,Sanctuary Farm Phila,0.355,7,Excellent
Latona Street Project,2240 LATONA ST,Complete,4,-75.181638,39.93661,3,New Bethany Baptist Church,0.166,1.5,Schuylkill River Park Community Garden,0.956,2.5,Point Breeze Community Market,0.294,7,Excellent
Rowan Judson Diamond,1901-27 JUDSON ST,Complete,39,-75.172618,39.983763,3,Project HOME,0.065,1.5,Brewerytown Garden,0.79,2.5,Sanctuary Farm Phila,0.374,7,Excellent
Ludlow Village IV,1600 N 7TH ST,Complete,25,-75.147323,39.976005,2.5,Friends Rehabilitation Program,0.39,2,FNC Community Learning Farm at 8th and Poplar,0.662,2.5,Sanctuary Farm at Health Connections,0.45,7,Excellent
Project HOME CDC Preservation,1523 FAIRMOUNT AVENUE,Under Construction,112,-75.163066,39.967368,2.5,Salvation Army Temple,0.311,2.5,The Spring Gardens,0.313,2,Fairmount Farmers' Market,0.574,7,Excellent
Norris Homes Phase V,1900 NORTH 10TH STREET,Complete,133,-75.150666,39.981647,3,Norris Homes/North Central Community Center,0.148,1,FNC Community Learning Farm at 8th and Poplar,1.105,3,Sanctuary Farm at Health Connections,0.156,7,Excellent
Rowan Homes II,1900-06 JUDSON ST,Complete,32,-75.172653,39.983768,3,Project HOME,0.065,1.5,Brewerytown Garden,0.79,2.5,Sanctuary Farm Phila,0.374,7,Excellent
Cecil B. Moore III-3,1900 HARLAN ST,Complete,33,-75.166821,39.975994,2.5,Mighty Writers North,0.386,2,Brewerytown Garden,0.727,2.5,Sanctuary Farm Phila,0.428,7,Excellent
St. Elizabeth V,1852 N 23RD ST,Complete,15,-75.172119,39.983354,3,Project HOME,0.022,1.5,Brewerytown Garden,0.831,2.5,Sanctuary Farm Phila,0.331,7,Excellent
Project HOME St. Elizabeth's Recovery Residence,1850 N CROSKEY ST,Under Construction,24,-75.171367,39.983111,3,Project HOME,0,1.5,Brewerytown Garden,0.853,2.5,Sanctuary Farm Phila,0.312,7,Excellent
Paseo Verde NMTC,1900 N 9TH ST,Complete,67,-75.148995,39.981454,3,Norris Homes/North Central Community Center,0.217,1,FNC Community Learning Farm at 8th and Poplar,1.001,3,Sanctuary Farm at Health Connections,0.05,7,Excellent
Cecil B. Moore III-1,1501 N UBER ST,Complete,64,-75.166978,39.977093,2.5,King Older Adult Center,0.307,2,Brewerytown Garden,0.744,2.5,Sanctuary Farm Phila,0.32,7,Excellent
Ludlow Village VI,1504 N 8TH ST,Complete,54,-75.149294,39.97487,2.5,Friends Rehabilitation Program,0.407,2,FNC Community Learning Farm at 8th and Poplar,0.516,2.5,Sanctuary Farm at Health Connections,0.445,7,Excellent
Tajdeed,1505-13 CADWALLADER ST,Complete,45,-75.140898,39.973917,3,Dreuding Center,0.243,1.5,FNC Community Learning Farm at 8th and Poplar,0.895,2.5,Northern Liberties Farmers Market ,0.438,7,Excellent
Tasker Village,1508-40 S 16TH,Complete,28,-75.171409,39.932012,2.5,Mount Hebron Baptist Church,0.296,2,South Philadelphia Older Adult Center Garden,0.522,2.5,East Passyunk Farmers' Market,0.49,7,Excellent
Hope Haven Preservation (Preservation Projects) - remove,1515 FAIRMOUNT AVE,Complete,36,-75.16287,39.967456,2.5,Salvation Army Temple,0.251,2.5,The Spring Gardens,0.421,2,Fairmount Farmers' Market,0.682,7,Excellent
1515 Fairmount,1515 FAIRMOUNT AVENUE,Complete,48,-75.16287,39.967456,2.5,Salvation Army Temple,0.251,2.5,The Spring Gardens,0.421,2,Fairmount Farmers' Market,0.682,7,Excellent
Spring Garden,1711-13 WALLACE ST,Complete,49,-75.165851,39.965804,2,Salvation Army Temple,0.515,3,The Spring Gardens,0.12,2,Fairmount Farmers' Market,0.514,7,Excellent
Francisville Elderly,1708 RIDGE AVE,Complete,42,-75.165898,39.970453,2.5,MAP Holistic CDC (Mankind Against Poverty),0.423,2.5,The Spring Gardens,0.426,2,Fairmount Farmers' Market,0.607,7,Excellent
Cecil B. Moore Beechwood,1616 N 19TH ST,Complete,14,-75.166296,39.978922,3,King Older Adult Center,0.236,1.5,Brewerytown Garden,0.916,2.5,Sanctuary Farm Phila,0.3,7,Excellent
Temple I Preservation,1700-04 N 16TH ST,Complete,58,-75.171929,39.929656,3,Bethany Indonesian Church,0.179,2,South Philadelphia Older Adult Center Garden,0.635,2,Guerin Rec Center Farmers Market ,0.554,7,Excellent
Spring Garden II,1602 MOUNT VERNON ST,Complete,58,-75.164468,39.964744,2.5,Salvation Army Temple,0.49,2.5,The Spring Gardens,0.252,2,Fairmount Farmers' Market,0.646,7,Excellent
Francisville IV-B,1612 SWAIN ST,Complete,11,-75.16423,39.967766,2.5,Salvation Army Temple,0.371,2.5,The Spring Gardens,0.286,2,Fairmount Farmers' Market,0.547,7,Excellent
Universal Court,1601 FEDERAL ST,Complete,32,-75.170569,39.936448,3,South Philadelphia WIC Office,0.2,2,Capitolo Community Garden,0.548,2,Point Breeze Community Market,0.593,7,Excellent
Fairmount,717 N 16TH ST,Complete,33,-75.163385,39.967699,2.5,Salvation Army Temple,0.324,2.5,The Spring Gardens,0.407,2,Fairmount Farmers' Market,0.65,7,Excellent
The Commons at Point Breeze,1134 S 15TH ST,Complete,55,-75.16892,39.936973,3,South Philadelphia WIC Office,0.19,2,Capitolo Community Garden,0.537,2,East Passyunk Farmers' Market,0.707,7,Excellent
LCIP III 811,1100 S BROAD ST,Complete,11,-75.167801,39.937577,3,South Philadelphia WIC Office,0.225,2,Capitolo Community Garden,0.571,2,East Passyunk Farmers' Market,0.741,7,Excellent
Homestart West Phila. Duplex,5623 WYALUSING AVE,Complete,2,-75.233195,39.968969,3,Haddington Overbrook Resident Council,0.127,1,Cobbs Creek Park Community Garden,1.185,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.383,6.5,Good
Universal Court II,800 S 16TH ST,Complete,21,-75.16965,39.941046,3,Tindley Temple Soup Kitchen,0.242,2,Waverly Street Community Garden,0.747,1.5,Rittenhouse Farmers' Market,0.824,6.5,Good
801 Residence,801 LOCUST ST,Complete,175,-75.155129,39.947383,2.5,"Old St. Joseph's Faith, Food and Friends_x000D_
",0.455,2.5,Sartain Community Garden,0.353,1.5,Headhouse Farmer's Market,0.767,6.5,Good
Calcutta House EXP,1607 W GIRARD AVE,Complete,6,-75.162867,39.972215,3,MAP Holistic CDC (Mankind Against Poverty),0.148,2,The Spring Gardens,0.63,1.5,Sanctuary Farm Phila,0.773,6.5,Good
Poplar Nehemiah II-B,1206 PARRISH ST,Complete,57,-75.156765,39.968035,3,Siloam Food Pantry,0.047,2.5,FNC Community Learning Farm at 8th and Poplar,0.37,1,Northern Liberties Farmers Market ,1.059,6.5,Good
V.A. Center,213 N 4TH ST,Complete,,-75.146026,39.954657,3,"Old First United Church of Christ_x000D_
",0.145,1,FNC Community Learning Farm at 8th and Poplar,1.171,2.5,Christ Church Farmer's Market,0.429,6.5,Good
Mamie Nichols Townhomes,1400 S TAYLOR ST,Complete,33,-75.185386,39.935128,3,Church of Pentecost,0.157,1,Schuylkill River Park Community Garden,1.152,2.5,Point Breeze Community Market,0.314,6.5,Good
Cecil B. Moore Homeownership Zone I-B,1400 N GRATZ ST,Complete,39,-75.166116,39.975945,2.5,North Philadelphia SDA Church,0.379,1.5,Brewerytown Garden,0.77,2.5,Sanctuary Farm Phila,0.471,6.5,Good
Villa III,1322 N HANCOCK ST,Complete,7,-75.138377,39.971396,3,Lutheran Settlement House,0.233,1,FNC Community Learning Farm at 8th and Poplar,1.029,2.5,Northern Liberties Farmers Market ,0.416,6.5,Good
Center West,245 S 46TH ST,Complete,17,-75.213687,39.953945,2,UC Hospitality Coalition (Woodland),0.562,2.5,Garden Court Community Garden,0.335,2,Clark Park Farmers Market,0.579,6.5,Good
Brooks School,5631 HAVERFORD AVENUE,Complete,33,-75.233438,39.967938,3,Haddington Overbrook Resident Council,0.146,1,Cobbs Creek Park Community Garden,1.125,2.5,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.335,6.5,Good
WPRE III,117 N 50TH ST,Complete,60,-75.220137,39.961654,2,Firehouse Active Adult Center,0.601,2,Garden Court Community Garden,0.743,2.5,52nd & Haverford Farmers Market,0.454,6.5,Good
APM Norris Street Homeownership,1711 N FRANKLIN ST,Complete,50,-75.147284,39.977974,2,Friends Rehabilitation Program,0.535,2,FNC Community Learning Farm at 8th and Poplar,0.731,2.5,Sanctuary Farm at Health Connections,0.306,6.5,Good
Strawberry Mansion 32nd & CBM,1631 N 32ND ST,Complete,11,-75.186573,39.981875,2.5,Gideon School,0.417,2,The Neighbors Garden at Hatfield House,0.65,2,Brewerytown Garden Farm Stand,0.694,6.5,Good
Linda Lockman King Apartments,5500 HAVERFORD AVE,Under Construction,33,-75.230269,39.966652,3,Firehouse Active Adult Center,0.125,0.5,Cobbs Creek Park Community Garden,1.294,3,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.126,6.5,Good
Partnership Homes II,5018 WALNUT ST,Complete,9,-75.222274,39.956323,1.5,West Philadelphia SDA,0.951,2.5,Garden Court Community Garden,0.422,2.5,Black Farmers Market,0.462,6.5,Good
Haddington I,5416 SUMMER ST,Complete,21,-75.228441,39.964268,3,Firehouse Active Adult Center,0.14,0.5,Cobbs Creek Park Community Garden,1.287,3,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.133,6.5,Good
Vineyard Place (Francisville V),1705 POPLAR ST,Complete,14,-75.164829,39.971049,2.5,MAP Holistic CDC (Mankind Against Poverty),0.371,2,The Spring Gardens,0.6,2,Sanctuary Farm Phila,0.713,6.5,Good
Opportunities Towers III,5524-60 HAVERFORD AVENUE,Under Construction,59,-75.230466,39.967073,3,Firehouse Active Adult Center,0.122,0.5,Cobbs Creek Park Community Garden,1.289,3,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),0.127,6.5,Good
Gaudenzia Thompson Street Apts,1815 W THOMPSON ST,Complete,6,-75.165991,39.974272,2.5,MAP Holistic CDC (Mankind Against Poverty),0.31,2,The Spring Gardens,0.682,2,Sanctuary Farm Phila,0.547,6.5,Good
Tasker Village Energy,1508 S 16TH ST,Complete,28,-75.171948,39.931547,2.5,Bethany Indonesian Church,0.342,2,South Philadelphia Older Adult Center Garden,0.606,2,Point Breeze Community Market,0.567,6.5,Good
Cecil B. Moore Homeownership Zone I-A,1510 N 18TH ST,Complete,30,-75.165069,39.977168,2.5,North Philadelphia SDA Church,0.256,1.5,The Spring Gardens,0.885,2.5,Sanctuary Farm Phila,0.466,6.5,Good
Apartments at New Market West,13 N SALFORD ST,Complete,41,-75.239955,39.961384,3,Reconciliation And Liberty Bible Church,0.159,2.5,Cobbs Creek Park Community Garden,0.452,1,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),1.039,6.5,Good
Calcutta House EXP,1221-33 N 19TH ST,Complete,9,-75.175255,39.93648,2.5,Mount Hebron Baptist Church,0.462,1.5,Capitolo Community Garden,0.831,2.5,Point Breeze Community Market,0.32,6.5,Good
Melville Way,4520-22 WALNUT ST,Complete,8,-75.212654,39.955361,2,UC Hospitality Coalition (Woodland),0.591,2.5,Garden Court Community Garden,0.474,2,Clark Park Farmers Market,0.608,6.5,Good
Reinhard Street,1220 S 48TH ST,Complete,15,-75.213516,39.943633,2.5,Catholic Housing and Community Services Star Harbor Senior Center Satellite,0.316,2,Kingsessing Community Garden,0.534,2,Clark Park Farmers Market,0.505,6.5,Good
Mansion Court II,2000 N 32ND ST,Complete,19,-75.185925,39.987055,2.5,Gideon School,0.48,1.5,The Neighbors Garden at Hatfield House,0.995,2.5,Strawberry Mansion Farmers Market,0.419,6.5,Good
Hawthorne IV,1236 CATHARINE ST,Complete,4,-75.163587,39.940365,2.5,Tindley Temple Soup Kitchen,0.331,2.5,Waverly Street Community Garden,0.489,1.5,East Passyunk Farmers' Market,0.77,6.5,Good
North Central Neighborhood III,2000 N 11TH ST,Complete,50,-75.151831,39.983334,3,Norris Homes/North Central Community Center,0.052,1,FNC Community Learning Farm at 8th and Poplar,1.206,2.5,Sanctuary Farm at Health Connections,0.31,6.5,Good
Sheridan Street,1807 N SHERIDAN ST,Complete,13,-75.146029,39.979128,2,Norris Homes/North Central Community Center,0.511,1.5,FNC Community Learning Farm at 8th and Poplar,0.952,3,Sanctuary Farm at Health Connections,0.245,6.5,Good
Pradera II,1800 N 7TH ST,Complete,53,-75.146795,39.978976,2,Norris Homes/North Central Community Center,0.51,1.5,FNC Community Learning Farm at 8th and Poplar,0.866,3,Sanctuary Farm at Health Connections,0.244,6.5,Good
Vernon House,3226 CLIFFORD ST,Under Construction,68,-75.187793,39.983104,2.5,Gideon School,0.425,2,The Neighbors Garden at Hatfield House,0.68,2,Strawberry Mansion Farmers Market,0.698,6.5,Good
Old First House,322-40 RACE ST,Complete,34,-75.145799,39.954123,3,"Old First United Church of Christ_x000D_
",0.09,1,Sartain Community Garden,1.185,2.5,Christ Church Farmer's Market,0.356,6.5,Good
Reba Brown Senior 202,1450 S 50TH ST,Complete,75,-75.213625,39.938873,2.5,Grace Tabernacle Christian Church,0.294,2.5,Kingsessing Community Garden,0.431,1.5,Sankofa Farmstand,0.813,6.5,Good
Blumberg Apartments I,1500-02 N 24TH ST,Complete,57,-75.184476,39.933818,3,New Bethany Baptist Church,0.142,1,Schuylkill River Park Community Garden,1.172,2.5,Point Breeze Community Market,0.299,6.5,Good
Homestart Strawberry Mansion,1968 N NAPA ST,Complete,1,-75.184861,39.986741,2.5,Gideon School,0.425,1.5,Brewerytown Garden,0.963,2.5,Strawberry Mansion Farmers Market,0.474,6.5,Good
Shelia Brown Women's Center,2000 ELLSWORTH ST,Complete,9,-75.176695,39.93792,2.5,Philadelphia Housing Authority Cassie L. Holly Apts. Satelite,0.432,1.5,Capitolo Community Garden,0.916,2.5,Point Breeze Community Market,0.285,6.5,Good
Diamond Street Initiative,3113 DIAMOND ST,Complete,49,-75.184234,39.988522,2.5,Gideon School,0.451,1.5,Brewerytown Garden,0.935,2.5,Strawberry Mansion Farmers Market,0.344,6.5,Good
Ingersoll Commons Homeownership,1301 N SMEDLEY ST,Complete,10,-75.162839,39.974229,3,MAP Holistic CDC (Mankind Against Poverty),0.199,1.5,The Spring Gardens,0.767,2,Sanctuary Farm Phila,0.688,6.5,Good
16th & Federal/Commons at Point Breeze,1136 S 16TH ST,Complete,53,-75.170517,39.937222,2.5,South Philadelphia WIC Office,0.273,2,Capitolo Community Garden,0.62,2,Point Breeze Community Market,0.637,6.5,Good
Artist Village,700 S 17TH ST,Complete,36,-75.170907,39.942943,2.5,Tindley Temple Soup Kitchen,0.312,2,Waverly Street Community Garden,0.726,2,Rittenhouse Farmers' Market,0.609,6.5,Good
Homeownership Rehabilitation Program - Mole Street,1141 S MOLE ST,Complete,4,-75.169886,39.936943,2.5,South Philadelphia WIC Office,0.252,2,Capitolo Community Garden,0.599,2,Point Breeze Community Market,0.659,6.5,Good
16th & Federal/Commons at Point Breeze II,1133 S 16TH ST,Complete,18,-75.170104,39.937168,2.5,South Philadelphia WIC Office,0.266,2,Capitolo Community Garden,0.612,2,Point Breeze Community Market,0.646,6.5,Good
Lillia Crippen Townhomes Preservation,100 W OXFORD ST,Complete,46,-75.135227,39.97379,3,Lutheran Settlement House,0.182,1,FNC Community Learning Farm at 8th and Poplar,1.204,2,Northern Liberties Farmers Market ,0.6,6,Good
Good Shepherd Senior,6439 LANSDOWNE AVENUE,Complete,55,-75.248902,39.975262,2.5,Good Samaritan Baptist Church,0.325,1,Cobbs Creek Park Community Garden,1.038,2.5,Overbrook Community Market ,0.463,6,Good
Center Park III Elderly,10102 JAMISON AVE,Complete,39,-75.022372,40.100954,3,Mitzvah Food Program Northeast,0.072,0,,,3,KleinLife Farmers' Market,0.131,6,Good
Mamie Nichols Townhomes Phase II AKA Arlene Thorpe Townhomes,1210 S 27TH ST,Complete,27,-75.188749,39.938471,3,Church of Pentecost,0.235,1,Schuylkill River Park Community Garden,1.053,2,Point Breeze Community Market,0.698,6,Good
Point Breeze Homeownership,1215 S 27TH ST,Complete,5,-75.188393,39.93836,3,Church of Pentecost,0.235,1,Schuylkill River Park Community Garden,1.053,2,Point Breeze Community Market,0.698,6,Good
Mansion Court I,1800 NORTH 32ND STREET,Complete,31,-75.186351,39.98413,2.5,Gideon School,0.363,1.5,The Neighbors Garden at Hatfield House,0.812,2,Strawberry Mansion Farmers Market,0.602,6,Good
North Phila Complete Blocks - Wilt,1905 W WILT ST,Complete,2,-75.165584,39.982088,2.5,Project HOME,0.391,1,Brewerytown Garden,1.134,2.5,Sanctuary Farm Phila,0.462,6,Good
North Phila Complete Blocks - Gratz,1815 N GRATZ ST,Complete,1,-75.164432,39.98175,2.5,King Older Adult Center,0.433,1,Brewerytown Garden,1.169,2.5,Sanctuary Farm Phila,0.497,6,Good
Fitzwater Homes,1827 FITZWATER ST,Complete,22,-75.173145,39.942914,2.5,Tindley Temple Soup Kitchen,0.392,1.5,Schuylkill River Park Community Garden,0.855,2,Rittenhouse Farmers' Market,0.584,6,Good
